name,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std
Logistic Regression,0.7581764122893955,0.5282555282555282,0.8052434456928839,0.6379821958456974,0.8489152710055826,0.84551127984813,0.014933704257719558
Decision Tree,0.7185332011892963,0.47780678851174935,0.6853932584269663,0.563076923076923,0.795574770081872,0.7897783927174342,0.023068263819716755
Random Forest,0.7839444995044599,0.5859649122807018,0.6254681647940075,0.605072463768116,0.8329900966110422,0.8310005261864164,0.018416371623413447
XGBoost,0.7512388503468781,0.5191387559808612,0.8127340823970037,0.6335766423357664,0.8486098912747206,0.8447788479427372,0.012712176696305257
LightGBM,0.7809712586719524,0.5761589403973509,0.651685393258427,0.6115992970123023,0.8422120597231898,0.8358257052404856,0.01241664021690796
Voting Ensemble,0.7770069375619425,0.559322033898305,0.7415730337078652,0.6376811594202898,0.8461390916341098,0.0,0.0
